Date,Expiry,Strike,Spot,C_market,T_days,T_years,Moneyness,r,RV_22,IV_call,IV_put,IV_classical,C_reprice,Reprice_Error
2025-01-01,2025-01-09,23750.0,23742.9,259.35,8,0.0317460317460317,0.999701052631579,0.065,0.1063931101652735,0.14105299996927556,0.12996650480158856,0.13550975238543206,259.35000000014224,1.4222223398974165e-10
2025-01-02,2025-01-09,24200.0,24188.65,181.4,7,0.0277777777777777,0.9995309917355372,0.065,0.1219486190962509,0.10250231291545223,0.1276111879998327,0.11505675045764246,181.40000000031068,3.106777057837462e-10
2025-01-03,2025-01-16,24000.0,24004.75,254.5,13,0.0515873015873015,1.0001979166666666,0.065,0.1220896663938195,0.09635524902640094,0.1200448878434237,0.10820006843491231,254.5,0.0
2025-01-06,2025-01-16,23600.0,23616.05,310.1,10,0.0396825396825396,1.0006800847457626,0.065,0.1340022585038787,0.14406903690045209,0.1552884648971853,0.1496787508988187,310.10000000000036,3.410605131648481e-13
2025-01-07,2025-01-16,23700.0,23707.9,244.15,9,0.0357142857142857,1.0003333333333333,0.065,0.1304959204771842,0.11833959255237989,0.13370422729368148,0.1260219099230307,244.14999999999964,3.694822225952521e-13
2025-01-08,2025-01-16,23700.0,23688.95,208.55,8,0.0317460317460317,0.9995337552742616,0.065,0.1304565851821121,0.11236270480015748,0.11963851948920672,0.1160006121446821,208.55000000042673,4.2672354538808577e-10
2025-01-09,2025-01-16,23550.0,23526.5,204.0,7,0.0277777777777777,0.9990021231422506,0.065,0.1322728939756888,0.12430156067463251,0.10835148519362837,0.11632652293413044,203.99999999999818,1.8189894035458565e-12
2025-01-10,2025-01-23,23450.0,23431.5,259.55,13,0.0515873015873015,0.9992110874200426,0.065,0.132974180766155,0.1076674643896605,0.12522472742681043,0.11644609590823546,259.5500000072316,7.231562904053135e-09
2025-01-13,2025-01-23,23100.0,23085.95,258.4,10,0.0396825396825396,0.9993917748917748,0.065,0.1420967708453133,0.12820318254819793,0.13348729093604284,0.1308452367421204,258.4000000003616,3.616378307924606e-10
2025-01-14,2025-01-23,23200.0,23176.05,221.55,9,0.0357142857142857,0.998967672413793,0.065,0.1421307967682853,0.11813652548271267,0.11334302867689854,0.1157397770798056,221.55000000001746,1.745092959026806e-11
2025-01-15,2025-01-23,23200.0,23213.2,193.5,8,0.0317460317460317,1.0005689655172414,0.065,0.1390037895995427,0.09779688433922977,0.11909893321961233,0.10844790877942105,193.5,0.0
2025-01-16,2025-01-23,23300.0,23311.8,205.95,7,0.0277777777777777,1.0005064377682402,0.065,0.1390689863145638,0.11480352099987064,0.12487089596512309,0.11983720848249686,205.9499999999989,1.0800249583553523e-12
